	log_likelihood
923	282.07614
924	325.08896
925	237.68013
926	28.024227
927	306.2261
928	291.5951
929	288.5707
930	233.98831
931	267.55743
932	281.02997
933	300.13535
934	313.45953
935	251.71953
936	324.87994
937	322.7569
938	315.50256
939	253.65727
940	328.0137
941	288.68576
942	224.19754
943	326.1231
944	324.8376
945	328.9148
946	271.4569
947	320.08267
948	251.84415
949	274.17978
950	319.29083
951	300.1353
952	181.17697
953	298.17798
954	305.3908
955	298.19376
956	141.63457
957	263.0202
958	291.40067
959	277.455
960	249.53818
961	318.20966
962	336.25262
963	252.47148
964	300.7768
965	320.52045
966	287.8117
967	325.48608
968	304.51596
969	309.8023
970	256.62177
971	250.8143
972	295.90558
973	261.7502
974	316.2425
975	330.51508
976	288.99188
977	316.1031
978	275.3438
979	269.23126
980	267.4807
981	329.6651
982	182.98827
983	268.54132
984	311.06705
985	305.61035
986	333.0884
987	286.0192
988	306.46454
989	300.5506
990	308.8159
991	296.21768
992	300.32193
993	310.11127
994	325.70114
995	301.36542
996	330.18936
997	244.70532
998	296.32358
999	310.6621
1000	297.6437
1001	292.50128
1002	292.10248
1003	300.2959
1004	135.51337
1005	271.88678
1006	327.36856
1007	327.1101
1008	264.79535
1009	199.14322
1010	281.93243
1011	307.46634
1012	245.23592
1013	295.3169
1014	313.52042
1015	299.974
1016	326.6241
1017	284.50543
1018	327.40088
1019	317.04224
1020	315.93417
1021	239.54239
1022	140.49597
1023	328.48898
1024	321.75665
1025	288.3785
1026	251.05396
1027	316.47467
1028	279.3851
1029	308.8979
1030	312.50433
1031	239.97603
1032	285.05463
1033	271.20242
1034	312.62213
1035	273.30353
1036	314.3977
1037	325.7487
1038	310.0131
1039	299.68533
1040	179.72153
1041	-3.510234
1042	245.52263
1043	230.18867
1044	302.34283
1045	215.68872
1046	308.92587
1047	294.52466
1048	308.17548
1049	168.81133
1050	320.63495
1051	316.86752
1052	315.48846
1053	295.0045
1054	331.0453
1055	321.91513
1056	329.78717
1057	266.14536
1058	259.80453
1059	286.92667
1060	330.59393
1061	312.68585
1062	234.52792
1063	242.21863
1064	268.1124
1065	242.0948
1066	200.17778
1067	313.50995
1068	277.66742
1069	303.33047
1070	310.2204
1071	310.54575
1072	324.57468
1073	268.95776
1074	318.91864
1075	308.28653
1076	276.5761
1077	137.7938
1078	306.26947
1079	309.71954
1080	321.61368
1081	288.9609
1082	325.37808
1083	312.28473
1084	318.67413
1085	310.29272
1086	181.55461
1087	235.6724
1088	306.23492
1089	297.214
1090	320.76642
1091	243.75114
1092	226.09956
1093	316.39758
1094	306.13666
1095	313.19073
1096	328.0418
1097	254.03177
1098	268.58707
1099	325.09143
1100	329.8427
1101	273.80368
1102	309.3391
1103	302.9502
1104	307.69833
1105	300.38956
1106	253.33374
1107	78.6932
1108	273.12192
1109	306.62753
1110	300.73627
1111	287.39108
1112	260.388
1113	312.44223
1114	329.10953
1115	333.56244
1116	319.26263
1117	309.86896
1118	213.52847
1119	249.88858
1120	293.27277
1121	274.40872
1122	318.82608
1123	316.3869
1124	290.53018
1125	278.90323
1126	326.35678
1127	321.27808
1128	273.55237
1129	288.7801
1130	315.54605
1131	305.88324
1132	304.6924
1133	277.3576
1134	276.05002
1135	201.98517
1136	331.11975
1137	333.79642
1138	311.85394
1139	302.91138
1140	320.06186
1141	328.07437
1142	263.67877
1143	308.13287
1144	233.98758
1145	265.5083
1146	139.48808
1147	320.57806
1148	215.51456
1149	273.8194
1150	220.09734
1151	201.86833
1152	293.97437
1153	307.35294
1154	166.44884
1155	293.17108
1156	289.35565
1157	308.35324
1158	234.62521
1159	294.9617
1160	285.56378
1161	290.55432
1162	302.44034
1163	299.96973
1164	266.83795
1165	301.5323
1166	286.78616
1167	262.9545
1168	273.76398
1169	262.74164
1170	305.55664
1171	329.95984
1172	321.35776
1173	285.36542
1174	303.7553
1175	331.9251
1176	319.702
1177	276.63394
1178	317.09952
1179	257.53143
1180	324.32495
1181	289.75406
1182	291.6603
1183	255.88028
1184	321.55206
1185	225.7625
1186	312.07553
1187	244.54704
1188	320.71234
1189	333.1253
1190	295.3603
1191	221.63127
1192	181.82834
1193	268.63858
1194	241.78284
1195	302.52405
1196	289.71503
1197	313.25238
1198	312.39236
1199	324.64514
1200	237.18867
1201	267.08148
1202	279.50476
1203	294.60687
1204	219.21317
1205	231.44621
1206	321.517
1207	324.5208
1208	323.52722
1209	169.02873
1210	320.37006
1211	164.63005
1212	173.49814
1213	141.68808
1214	223.21402
1215	230.00333
1216	300.02237
1217	309.6271
1218	309.4433
1219	286.30148
1220	304.06958
1221	214.62308
1222	254.59224
1223	309.19885
1224	325.82037
1225	313.5246
1226	296.45752
1227	325.55466
1228	319.28104
1229	312.7481
1230	250.69324
1231	278.91977
1232	287.0054
1233	187.98271
1234	263.779
1235	283.6233
1236	322.00146
1237	180.66284
1238	297.0246
1239	275.33197
1240	288.96704
1241	228.63046
1242	317.9421
1243	310.45148
1244	306.74286
1245	295.43427
1246	216.20605
1247	315.7911
1248	210.42793
1249	326.77386
1250	161.75684
1251	265.639
1252	311.35846
1253	246.18245
1254	317.13083
1255	238.10893
1256	297.94965
1257	270.74713
1258	289.20346
1259	283.49872
1260	318.07895
1261	316.8825
1262	309.75485
1263	206.11153
1264	290.39713
1265	248.68167
1266	323.9499
1267	293.051
1268	255.83284
1269	233.55107
1270	173.56511
1271	253.65552
1272	259.18808
1273	296.69562
1274	292.00327
1275	318.5093
1276	314.9438
1277	264.85187
1278	293.74225
1279	278.81522
1280	322.7671
1281	278.2687
1282	316.49387
1283	290.47595
1284	183.19734
1285	287.35962
1286	235.66977
1287	272.71027
1288	235.1362
1289	302.67786
1290	306.74326
1291	226.38493
1292	289.7462
1293	316.47455
1294	281.84082
1295	301.48007
1296	208.4946
1297	298.2995
1298	302.52527
1299	264.80426
1300	244.50078
1301	280.87286
1302	322.01556
1303	308.33984
1304	303.2088
1305	268.74478
1306	299.77597
1307	305.94318
1308	309.885
1309	310.2207
